Date,Pair,Type,Price,Filled,Fee,Fee Coin,Total,Actual Price,Actual Total,Difference,Difference%
2019-10-25 21:01:41,BTCUSDT,Sell,8465.14,0.003604,0.00123512,BNB,30.50836456,,,,
2019-10-26 11:02:36,ETHUSDT,Sell,185.33,0.24530,0.00180234,BNB,45.46144900,,,,
2019-10-26 11:33:44,XLMUSDT,Sell,0.06396,782.5,0.00199473,BNB,50.04870000,,,,
2019-10-26 11:35:12,BTCUSDT,Sell,9434.54,0.005303,0.00199065,BNB,50.03136562,,,,
2019-10-26 12:29:15,BTCUSDT,Sell,9111.21,0.005229,0.00195330,BNB,47.64251709,,,,
2019-10-27 12:35:19,NEOUSDT,Sell,10.369,0.965,0.00039155,BNB,10.00608500,,,,
2019-10-27 18:11:19,NEOUSDT,Sell,11.516,1.035,0.00047091,BNB,11.91906000,,,,
2019-10-30 12:35:14,NANOUSDT,Sell,0.8463,29.16,0.00094054,BNB,24.67810800,,,,
2019-11-01 09:31:06,XLMUSDT,Sell,0.06916,409.4,0.00106903,BNB,28.31410400,,,,
2019-11-03 23:50:34,XLMUSDT,Sell,0.06806,293.6,0.00075509,BNB,19.98241600,,,,
2019-11-03 23:50:34,XLMUSDT,Sell,0.06805,247.2,0.00063567,BNB,16.82196000,,,,
2019-11-06 09:11:31,NANOUSDT,Sell,1.0230,9.78,0.00036183,BNB,10.00494000,,,,
